state,race,year,count,population,crude_rate_100k
North Carolina,Black or African American,2003,76,620959,12.240000000000002
North Carolina,White,2003,258,1588306,16.240000000000002
North Dakota,Black or African American,2003,0,2999,0
North Dakota,White,2003,37,155239,23.830000000000002
Ohio,American Indian or Alaska Native,2003,0,10305,0
Ohio,Black or African American,2003,65,505415,12.86
Ohio,White,2003,489,2605287,18.77
Oklahoma,American Indian or Alaska Native,2003,17,130675,13.01
Oklahoma,White,2003,120,736369,16.3
Oregon,White,2003,151,854798,17.66
Pennsylvania,American Indian or Alaska Native,2003,0,10078,0
Pennsylvania,Black or African American,2003,75,470706,15.930000000000001
Pennsylvania,White,2003,491,2676611,18.34
Rhode Island,American Indian or Alaska Native,2003,0,3203,0
Rhode Island,White,2003,43,242047,17.77
South Carolina,American Indian or Alaska Native,2003,0,5724,0
South Carolina,Asian or Pacific Islander,2003,0,14224,0
South Carolina,Black or African American,2003,43,416506,10.32
South Carolina,White,2003,109,713494,15.280000000000001
South Dakota,Asian or Pacific Islander,2003,0,2036,0
South Dakota,Black or African American,2003,0,3996,0
South Dakota,White,2003,27,184160,14.66
