state,year,count,population,crude_rate_100k
Idaho,2008,80,468822,17.06
Illinois,2008,629,3522622,17.86
Indiana,2008,352,1808812,19.46
Iowa,2008,143,818652,17.47
Kansas,2008,153,799701,19.130000000000003
Kentucky,2008,189,1142982,16.540000000000003
Louisiana,2008,209,1245348,16.78
Maine,2008,70,319449,21.91
Maryland,2008,275,1522335,18.06
Massachusetts,2008,301,1632561,18.44
Michigan,2008,514,2724448,18.87
Minnesota,2008,269,1435004,18.75
Mississippi,2008,123,855160,14.380000000000003
Missouri,2008,254,1604617,15.830000000000002
Montana,2008,41,251982,16.27
Nebraska,2008,98,507566,19.310000000000002
Nevada,2008,111,731131,15.180000000000001
New Hampshire,2008,73,335369,21.77
New Jersey,2008,435,2303527,18.880000000000003
New Mexico,2008,84,571815,14.690000000000001
New York,2008,943,4945553,19.07
North Carolina,2008,411,2523924,16.28
North Dakota,2008,25,169996,14.71
Ohio,2008,545,3105558,17.55
Oklahoma,2008,162,1021071,15.87
Oregon,2008,188,971055,19.36
Pennsylvania,2008,554,3208808,17.26
Rhode Island,2008,46,268132,17.16
South Carolina,2008,178,1217007,14.630000000000003
South Dakota,2008,32,224087,14.280000000000001
Tennessee,2008,326,1670378,19.52
Texas,2008,1441,7409811,19.450000000000003
Utah,2008,182,927945,19.61
Vermont,2008,28,154133,18.169999999999998
Virginia,2008,358,2067145,17.32
Washington,2008,323,1746269,18.5
West Virginia,2008,89,440893,20.19
Wisconsin,2008,312,1511190,20.650000000000002
Alabama,2009,208,1278959,16.26
Alaska,2009,35,207358,16.880000000000003
Arizona,2009,319,1817884,17.55
Arkansas,2009,145,792501,18.3
California,2009,1907,10451060,18.25
Colorado,2009,227,1356810,16.73
Connecticut,2009,201,921458,21.810000000000002
Delaware,2009,42,234309,17.930000000000003
District of Columbia,2009,20,125249,15.969999999999999
Florida,2009,800,4513647,17.72
Georgia,2009,456,2777234,16.419999999999998
Hawaii,2009,61,337593,18.07
Idaho,2009,78,472822,16.5
Illinois,2009,610,3509764,17.380000000000003
Indiana,2009,303,1809338,16.75
Iowa,2009,163,820403,19.87
Kansas,2009,151,806266,18.73
Kentucky,2009,210,1144346,18.35
Louisiana,2009,202,1251268,16.14
Maine,2009,53,315049,16.82
Maryland,2009,305,1518884,20.080000000000002
Massachusetts,2009,320,1628136,19.650000000000002
Michigan,2009,480,2682344,17.89
Minnesota,2009,280,1433773,19.53
Mississippi,2009,125,853197,14.65
Missouri,2009,267,1603978,16.650000000000002
Montana,2009,44,251745,17.48
Nebraska,2009,89,510372,17.44
Nevada,2009,122,736746,16.56
New Hampshire,2009,64,330126,19.39
New Jersey,2009,514,2297204,22.380000000000003
New Mexico,2009,87,576832,15.080000000000002
New York,2009,948,4922253,19.26
North Carolina,2009,413,2552467,16.180000000000003
North Dakota,2009,29,170889,16.97
Ohio,2009,526,3087465,17.040000000000003
Oklahoma,2009,174,1034601,16.82
Oregon,2009,160,972889,16.45
